,property_type,property_subtype,locality,zip_code,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state,province,ppm
337,APARTMENT,DUPLEX,Schaerbeek,1030,279000,4,153,not_installed,False,False,True,2,False,0,0,2,False,to_renovate,Brussel,1823.5294117647
338,APARTMENT,APARTMENT,Bruxelles,1040,650000,3,216,0,False,False,False,0,False,0,0,3,False,as_new,Brussel,3009.2592592593
339,APARTMENT,APARTMENT,Dison,4820,99000,2,94,installed,False,False,True,0,False,0,0,4,False,good,Liège,1053.1914893617
340,APARTMENT,APARTMENT,Herstal,4040,129000,2,56,installed,False,False,False,0,False,0,0,2,False,good,Liège,2303.5714285714
341,APARTMENT,APARTMENT,Schaerbeek,1030,137500,1,28,installed,False,True,True,2,False,0,0,4,False,good,Brussel,4910.7142857143
342,APARTMENT,APARTMENT,Willebroek,2830,139000,2,78,semi_equipped,False,True,True,0,False,0,0,0,False,good,Antwerpen,1782.0512820513
343,APARTMENT,APARTMENT,Blankenberge,8370,149000,1,59,installed,True,True,True,0,False,0,0,0,False,good,West-Vlaanderen,2525.4237288136
344,APARTMENT,APARTMENT,Wavre,1300,150000,2,50,semi_equipped,False,True,False,0,False,0,0,3,False,to_renovate,Brabant wallon,3000
345,APARTMENT,APARTMENT,Liege,4000,159000,2,75,usa_installed,False,False,True,3,False,0,0,0,False,as_new,Liège,2120
346,APARTMENT,APARTMENT,Ronse,9600,159000,2,84,installed,False,False,True,12,False,0,0,2,False,good,Oost-Vlaanderen,1892.8571428572
347,APARTMENT,APARTMENT,Bertrix,6880,163000,2,80,semi_equipped,False,False,True,23,False,0,0,2,False,good,Luxembourg,2037.5
348,APARTMENT,APARTMENT,Schaerbeek,1030,169000,1,70,not_installed,False,False,False,0,False,0,0,2,False,to_renovate,Brussel,2414.2857142857
351,APARTMENT,APARTMENT,Huy,4500,169000,3,97,semi_equipped,False,True,True,8,False,0,0,0,False,good,Liège,1742.2680412371
352,APARTMENT,DUPLEX,Oupeye,4680,169000,4,119,not_installed,False,False,False,0,True,649,0,3,False,to_renovate,Liège,1420.1680672269
353,APARTMENT,APARTMENT,Blankenberge,8370,169000,1,67,installed,False,True,True,0,False,0,0,0,False,good,West-Vlaanderen,2522.3880597015
354,APARTMENT,APARTMENT,Ronse,9600,169000,2,74,installed,False,False,True,4,False,0,0,2,False,good,Oost-Vlaanderen,2283.7837837838
355,APARTMENT,APARTMENT,Sint-Niklaas,9100,169900,1,50,usa_hyper_equipped,False,False,True,4,False,0,0,2,False,as_new,Oost-Vlaanderen,3398
356,APARTMENT,APARTMENT,Saint-Gilles,1060,170000,1,49,installed,False,False,False,0,False,0,0,2,False,to_renovate,Brussel,3469.3877551021
357,APARTMENT,APARTMENT,PUURS-SINT-AMANDS,2870,172000,1,74,installed,False,True,False,0,False,0,0,2,False,good,Antwerpen,2324.3243243243
360,HOUSE,HOUSE,Liege,4020,229000,4,222,semi_equipped,False,False,True,48,True,251,417,2,False,to_be_done_up,Liège,1031.5315315315
361,HOUSE,HOUSE,Liege,4031,229000,3,179,installed,False,False,True,14,False,0,110,2,False,good,Liège,1279.3296089386
362,HOUSE,HOUSE,Thimister-Clermont,4890,229000,3,172,installed,False,False,True,92,False,0,204,3,False,good,Liège,1331.3953488372
363,HOUSE,HOUSE,Genappe,1470,235000,4,142,installed,False,False,False,0,True,272,302,2,False,to_be_done_up,Brabant wallon,1654.9295774648
364,HOUSE,HOUSE,Welkenraedt,4841,235000,5,230,not_installed,False,False,False,0,True,339,432,3,False,good,Liège,1021.7391304348
365,HOUSE,HOUSE,Beveren,9120,235000,3,155,semi_equipped,False,False,True,15,True,115,228,2,False,to_renovate,Oost-Vlaanderen,1516.1290322581
366,HOUSE,HOUSE,Antwerp,2060,239000,5,150,installed,False,True,True,5,False,0,56,2,False,to_be_done_up,Antwerpen,1593.3333333333
367,HOUSE,HOUSE,Ans,4430,239000,5,213,installed,False,False,True,66,True,110,261,2,False,good,Liège,1122.0657276995
368,HOUSE,HOUSE,Liege,4000,249000,4,242,semi_equipped,False,False,True,33,True,60,163,2,False,good,Liège,1028.9256198347
369,HOUSE,HOUSE,Seraing,4100,249000,3,122,installed,False,False,True,34,True,130,267,3,False,good,Liège,2040.9836065574
370,HOUSE,HOUSE,Vivegnis,4683,249000,3,150,semi_equipped,False,True,True,7,True,149,265,2,False,to_be_done_up,Liège,1660
371,HOUSE,HOUSE,Villers-la-Ville,1495,250000,2,106,installed,False,False,True,6,True,296,388,3,False,to_renovate,Brabant wallon,2358.4905660377
372,HOUSE,MIXED_USE_BUILDING,LIEGE,4000,255000,2,110,semi_equipped,False,False,False,0,True,64,134,2,False,good,Liège,2318.1818181818
373,HOUSE,HOUSE,Noiseux,5377,259000,3,180,installed,False,False,True,61,True,431,542,2,False,good,Namur,1438.8888888889
374,HOUSE,HOUSE,Erpe-Mere,9420,259000,3,200,installed,False,False,True,0,False,0,350,2,False,good,Oost-Vlaanderen,1295
375,HOUSE,HOUSE,ANTHEIT,4520,259500,4,254,installed,False,True,True,15,True,2700,2850,4,False,good,Liège,1021.6535433071
376,HOUSE,HOUSE,Ronse,9600,265000,4,168,installed,False,False,True,20,True,82,182,2,False,just_renovated,Oost-Vlaanderen,1577.380952381
377,HOUSE,HOUSE,Seraing,4100,269000,3,110,hyper_equipped,False,False,True,15,True,120,231,3,True,good,Liège,2445.4545454546
378,HOUSE,MIXED_USE_BUILDING,Ronse,9600,269000,5,302,installed,False,False,True,45,True,555,1195,4,False,to_renovate,Oost-Vlaanderen,890.7284768212
379,HOUSE,HOUSE,Libramont-Chevigny,6800,269900,5,140,not_installed,False,False,True,30,True,1000,1152,4,False,good,Luxembourg,1927.8571428572
380,HOUSE,APARTMENT_BLOCK,Liege,4000,274000,1,169,not_installed,False,False,False,0,False,0,44,2,False,to_be_done_up,Liège,1621.3017751479
381,HOUSE,HOUSE,Wortegem-Petegem,9790,274000,4,145,hyper_equipped,False,False,True,25,True,180,270,2,False,good,Oost-Vlaanderen,1889.6551724138
382,HOUSE,MIXED_USE_BUILDING,Huy,4500,279000,3,290,semi_equipped,False,True,True,10,True,100,204,4,False,good,Liège,962.0689655172
383,HOUSE,BUNGALOW,WARNANT-DREYE,4530,279000,2,107,semi_equipped,False,True,True,12,True,230,479,4,False,good,Liège,2607.476635514
384,HOUSE,HOUSE,Bassenge,4690,279000,3,194,installed,False,False,True,64,True,160,165,3,False,good,Liège,1438.1443298969
